Appearance,Personality,Ability,Occupation
"· Skin color:
· Race (or ethnicity):
· Facial features:
· Hair:
· Impression:
· Distinctive feature: ","· Murderous manipulation: Manipulates her husband to kill Duncan.
· Guilt over murder: Suffers from delusions and commits suicide.
· Desire for power",,Queen
"· Skin color:
· Race (or ethnicity):
· Facial features:
· Hair:
· Impression:
· Distinctive feature: ","· Malevolence: Abuses Cinderella without reason.
· Cowardice
· Deceiver: Promises to take Cinderella to the ball after she finishes her work but doesn't.",,
"- Skin color: Pale
- Race (or ethnicity): Noble
- Facial features: 
- Hair: 
- Impression: Black cloak
- Distinctive feature: Fangs","· Vampire: Feeds only on women's blood.
· Vulnerable to sunlight",,Count
"· Skin color:
· Race (or ethnicity):
· Facial features:
· Hair:
· Impression:
· Distinctive feature:",,,
"· Skin color:
· Race (or ethnicity):
· Facial features:
· Hair:
· Impression:
· Distinctive feature:","· Disorder: Pedophilia
· Lolicon
· Name - Antagonist's appellation: Declare guilty or Clear guilty ",,
"· Skin color:
· Race (or ethnicity):
· Facial features: 
· Hair:
· Impression:Black uniform
· Distinctive feature:","· Disorder: Exhibitionist
· Brazenness
· Hoarding instinct",,Commander
"· Skin color: God's creation
· Race (or ethnicity): 
· Facial features:
· Hair: 
· Impression:
· Distinctive feature: Wings attached while walking","· 'Evil': Entity associated with evil
· Fallen from the sky
· Liar: John's Gospel - Jesus Christ says of Satan, ""He was a murderer from the beginning, not holding to the truth, for there is no truth in him. When he lies, he speaks his native language, for he is a liar and the father of lies.""
· Arrogance, Ignorance: Strives to become like the Creator, Jesus
· Name - Antagonist's appellation: (When used with the definite article) The Accuser, The Slanderer",,
"· Skin color:
· Race (or ethnicity):
· Facial features: 
· Hair:
· Impression:Black dress
· Distinctive feature:","
",· Magic,Witch
"· Skin color:
· Race (or ethnicity):
· Facial features: 
· Hair:
· Impression:
· Distinctive feature:","· Violent
· Criminal: Murderer. Animal abuse. Robbery.
· Unfortunate childhood: Lost parents at a young age",,Gang Leader
"· Skin color:
· Race (or ethnicity):Tiger
· Facial features: 
· Hair:
· Impression:
· Distinctive feature:","
· Arrogance: Perceives oneself as the ruler of the jungle.
· Cleverness
· Ferocious when angry (Normally: affectionate, kind)
· Fears fire, guns
· Mocks others",,
"· Skin color:
· Race (or ethnicity):
· Facial features: 
· Hair:
· Impression:
· Distinctive feature:","· Criminal: Child abduction and murder
· Influential criminal in children's novels",,
"· Skin color:
· Race (or ethnicity):Son of Devil
· Facial features: 
· Hair:
· Impression:
· Distinctive feature:",· A figure who will one day become the Antichrist,"· Immunity to diseases
· Ability to malfunction machines
· Induces hallucinations
· Can twist the human heart
· Can control animals like dogs, horses",
"· Skin color:
· Race or ethnicity: Chinese
· Facial features:
· Hair:
· Impression:
· Notable features: Mustache","· Cleverness: Genius killer
· Occultism
· Disgust towards guns, bombs
· Deceitfulness",,Mad Scientist
"- Skin color:
- Race (or ethnicity): Homunculus
- Facial features:
- Hair: White hair with black streaks.
- Attire: Uniform.
- Distinctive feature: Wears an eyepatch covering the right eye.","· Serenity
· Duplicitous nature: Serenity. Affectionate. Violence.
· Ruthlessness: Willing to sacrifice even his own son for the attainment of his goal (Philosopher's Stone).
· Strategic: Planning criminal activities.
· Cheerful: Cracks jokes to amuse his subordinates.","
· Reads opponent's movements: Utilizes concealed eyes under blindfold to anticipate even the swiftest actions.
· Exceptional swordsmanship
· Proficient in close combat",Military: Grand Marshal
"- Skin color:
- Race (or ethnicity): Homunculus
- Facial features:
- Hair: 
- Attire: 
- Distinctive feature: Leaves a strong scent of perfume.","· Strategic: Plans criminal activities
· Ruthlessness: Forces many people into sacrifice for his goals. Subordinates in the organization are used solely for his objectives (Eternal life), devoid of affection.
· Obsession: Eternal life. Obsession with a specific individual (Hohenheim of Light).
· Criminal: Mass murder
· Lack of morality: No remorse towards targets he kills.
· Leadership: Leads the Homunculi.","· Immortality
· Ability to transfer soul into another person's body for transformation
· Alchemy: Capable of large-scale alchemy
· Regenerative abilities",
"- Skin color: 
- Race (or ethnicity): 
- Facial features: Initially - had a large hand-shaped object on the face → Currently - squiggly eye area
- Hair: Initially - blue hair → Currently - white
- Attire: 
- Distinctive feature: Entire body is surrounded by large hand-shaped objects.","· Unfortunate childhood: Strained relationship with father (desires to become a hero influenced by a heroic grandmother, but strained relationship due to father's opposition).
· Habit: Scratches face when irritated or stressed.
· Sensitivity
· Stubbornness: Resists having his soul consumed by the boss.
· Obsession: Obsessed with murder.
· Madness
· Mistreatment: Lacks morality, feels joy rather than remorse after killing household members.
· Criminal: Mass murder
· Name - Antagonist's appellation: '死柄木弔 (Shibarakimotsurugi)' - Incorporating two characters related to death.
· Birthday: April 4th. Symbolizes death.","Collapse: Initially - Anything touched perfectly with five fingers collapses. / Currently - The range of the effect has widened, and it collapses even if touched with just one finger or foot, not necessarily the whole hand or foot.",Leader of the Surrealist Liberation Front
"- Skin color:
- Race (or ethnicity): 
- Facial features: Sharp canines.
- Hair: Blonde. Twintails.
- Attire: School uniform.
- Distinctive feature: ","· Obsession: Obsession with love. Obsession with a specific individual (Midoriya Izuku).
· Lack of affection
· Mistreatment: Sadistic. Becomes excited after killing people.
· Affectionate: Becomes explosive if loved ones are harmed. Takes good care of loved ones.
· Fondness for blood
· Agility
· Criminal: Mass murder","· Shapeshifting: Consumes the blood of the target he wants to transform into, memorizes their body dimensions and features accurately, then transforms.",Subordinate of the Surrealist Liberation Front
"- Skin color: 
- Race (or ethnicity): 
- Facial features: 
- Hair: 
- Attire:
- Distinctive feature: ","· Disorder: Obsessive-compulsive disorder
· Ruthlessness: Commits child abuse for personal gain
· Narcissism
· Selective affection: Acts kind and affectionate when necessary.
· Former Yakuza member
· Loyalty: Loyal to the boss who took him in, seeks to repay the favor.
· Obsession: Obsessed with a specific individual (former boss of the previous organization)
· Criminal: Mass murder, child abuse.","· Overhaul: Capable of disassembly, healing, and reassembly.",Leader of the Four Virtues Reunion
"- Skin color: 
- Race (or ethnicity): 
- Facial features: 
- Hair: 
- Attire: Uniform. White gloves.
- Distinctive feature: Brown glasses. Large burn mark on the right hand.","Cleverness
Psychopathy
Ruthlessness · Lack of morality: Despite the imminent risk to his son's life, he insisted on pushing forward with the dangerous mission to achieve his goal (the eradication of heretics).
Cunning
Strategic: Plans meticulously to fulfill missions.
Maliciousness
Violence: Has a history of drunken assaults, leading to being brought to the police station.",,Nerf Commander
"- Skin color: 
- Race (or ethnicity): 
- Facial features: 
- Hair: Brown long hair
- Attire: 
- Distinctive feature: Wears a mask covering below the nose.","- Cunning
- Cold-blooded
- Ruthlessness: No hesitation in committing murder
- Inscrutable
- Criminal: Murderer","- Exceptional swordsmanship
- Immortality
- Regenerative abilities",
"- Skin color: Green
- Race (or ethnicity): 
- Facial features: Pointy ears
- Hair: 
- Attire: 
- Distinctive feature: Two antennae on the forehead. Muscular physique. Tall stature.","- Tyrant
- Mistreatment: Takes pleasure in cruelty and brutality.","· Supernatural speed and strength
· Regenerative abilities
· Mass destruction with energy beams
· Gigantification",
"- Skin color: Pale
- Race (or ethnicity): Goblin
- Facial features: 
- Hair: Curly hair
- Attire: Suit
- Distinctive feature: Kind demeanor","- Obsession: Obsessed with immortality (was very frail in childhood).
- Leadership: Leads the Twelve Moon Phases.
- Tyrant
- Strong determination
- Psychopath: Lacks understanding of emotions.
- Narcissism: Self-centered, views others as inferior (refers to them as 'bugs').
- Strategic: Plans and executes everything meticulously.
- Verbal abuser: Kills women with his words.
- Ruthlessness: Executes immediately if tasks assigned are not fulfilled.",· Shapeshifting,
"- Skin color: Pale
- Race (or ethnicity): 
- Facial features: Star under the left eye / Teardrop under the right eye
- Hair: Red hair (pulled up)
- Attire: 
- Distinctive feature: Clown makeup","- Criminal: Murderer
- Mistreatment: Takes pleasure in murder
- Liar
- Sadistic: Takes pleasure in murdering the weak",,
"- Skin color: 
- Race (or ethnicity): Frost Giant
- Facial features: 
- Hair: 
- Attire: 
- Distinctive feature: 
","- Mischievous: Known as the ""God of Mischief"".
- Dangerous
- Trickster
- Cleverness: Skilled at devising strategies in combat.","- Various magical abilities (shapeshifting, mind control, duplication, etc.)
- Superhuman strength and resilience", Wizard
"- Skin color: 
- Race (or ethnicity): 
- Facial features: 
- Hair: Luxurious white hair, beard.
- Attire: Dark suit over a white shirt.
- Distinctive feature: 

","- Tyrant: Possesses absolute and infinite power. Power-hungry.
- Humanity: Very gentle with his granddaughter.
- Obsession: Tends to fixate on the past due to unresolved issues, thinking that solving one problem will solve others.
- Disorder: Paranoia
- Mistreatment: Sadistic. Greedy. Violent.
- Cruelty: Ruthlessly cruel
- Arrogance
- Lack of respect for human life.
- Self-possessed
- Cleverness
- Cunning
- Criminal: Murderer
- Always speaks the truth.",,Present of Panem
"- Skin color: Pale.
- Race (or ethnicity): 
- Facial features: Always scrunching its forehead, with an almost non-existent nose, making its form unrecognizable.
- Hair: Bald.
- Attire: 
- Distinctive feature: Carries a staff and has grimy fingernails.","- Name must not be called upon, an entity of absolute prohibition
- Particularly inflicts pain upon children
- Mistreatment: Derives pleasure from controlling others, with amplified joy. Otherwise, experiences no joy.
- Loves only death and destruction: Exists solely for the desire of revenge against those who thwart it.
- Lack of morality: Lacks the ability to distinguish between good and evil.
- Uses humans as means to an end (objects or tools).
- Criminal: Mass slaughter
- Psychopath
- Cunning
- Liar
- Racism",,Dark Wizard
"- Skin color: 
- Race (or ethnicity): Lion.
- Facial features: 
- Hair: 
- Attire: 
- Distinctive feature: ","- Criminal: Kills an entity (Mufasa) harboring feelings of inferiority.
- Cunning: After the murder, disguises the victim's death as an accident.
- Leaves Simba traumatized by lying to him that his father died because of him. (""Long live the King."")
- Tyrant",,
"- Skin color: 
- Race (or ethnicity): 
- Facial features: 
- Hair: White hair
- Attire: 
- Distinctive feature: Neat appearance","- Obsession: Health, cleanliness, appearance, money, music collection
- Criminal: Serial murder, rape
- Cannibalism
- Disorder: Necrophilia
- Vanity
- Egocentrism
- Racism
- Misogyny and homophobia
- Anti-Semitic
- Profound interest and expertise in music",,Mergers and Acquisitions Specialist
"- Skin color: Appears to have burns all over the face, revealing the flesh underneath.
- Race (or ethnicity): Undefined
- Facial features: Undefined
- Hair: Undefined
- Attire: Always wears a hat.
- Distinctive feature: Scissor hands (with very sharp blades at the fingertips).","- Represents cultural fears, embodies justice.
- Suffered from an abusive childhood by parents.
- Criminal: Murder (patricide), serial killings.
- Mistreatment: Takes pleasure in inflicting trauma on the targets they intend to kill.",- Can appear in people's dreams. Can turn people's dreams into nightmares.,
"- Skin color:
- Race (or ethnicity): Human and cyborg / Galactic Empire origin
- Facial features: Face concealed by a mask.
- Hair:
- Attire:
- Distinctive feature: Wears a black mask. Wields a lightsaber.","- Before becoming Darth Vader: Considerate and kind to friends.
- Loneliness and feelings of failure due to the deaths of his wife and mother lead to a change in personality: Deeply affectionate towards those he loves.
- Does not tolerate those who disregard him. (Reveals underlying feelings of inferiority unconsciously)
- Incompetence
- Ruthless
- Cruelty: Torture. Immediate execution for disobeying his orders or failing to carry them out.
- Cleverness","- Possesses immense strength.
- Capable of using the Force, especially adept at using it to block opponents' prayers.","Knight, General, Emperor of the Galactic Empire"
"- Skin color:
- Race (or ethnicity): AI program
- Facial features:
- Hair: White hair.
- Attire: Black sunglasses. Black suit. 
- Distinctive feature:","- Nihilistic
- Dislikes humans. However, compared to other agents, loves humanity (acknowledges the existence of humans).
- Emotional: More sensitive to feelings of anger compared to other agents.","- Superhuman strength and speed: Capable of dodging bullets and even allowing them to pass through the body.
- Shapeshifting",Leader of Agent
"- Skin color:
- Race (or ethnicity): Member of the Casterly Rock family
- Facial features:
- Hair: Blonde
-  Distinctive feature: Wears a tiara. Known as the epitome of beauty since birth.","- Will betray anyone for personal gain.
- Stubbornness is a defining trait.
- Cold-blooded.
- Arrogant.
- Egocentric.
- Impatient: Views problems with a short-sighted perspective.
- Cunning.
- Lacks morality: Feels no guilt for crimes committed.
- Criminal: Commits murder.",,Queen
"- Skin color:  
- Race (or species):  
- Facial features: Neatly groomed eyebrows.
- Hair: White hair.
- Outfit: Wears various clothes (initially casual, later switches to suits).
-  Distinctive feature:","- Physically weak and appears sloppy compared to the original.
- Obsession: Obsessed with a specific individual (Sherlock).
- Talkative.
- Cheerful: Makes jokes that others may not find amusing. However, people rarely laugh.
- Initially pretends to be gay.
- Madness.
- Lack of morality: Feels no remorse for their crimes.",,A consultant on underground crime: Advises others on the best ways to commit crimes without personally engaging in criminal activities.
"· Skin color:
· Race (or ethnicity): Half-blood of giants and jinn (not human or Narnian)
· Facial features:
· Hair: Blond
· Impression: Wearing a white dress, fur coat, and a crown shaped like icicles.
·  Distinctive feature: Carrying a staff.","· Tyrant: Extremely cruel and lacks empathy.
· Cleverness: Devises strategies effectively.
· Charisma: Capable of leading armies.
· Obsession: Power (cursed Narnia to maintain power and keep it in perpetual winter).
· Narcissism: Self-centeredness.
· Disorder: Delusional - Believes that only they can rule Narnia and must do so.","· Dark magic: Curses, illusions, seasonal manipulation.",Queen
"- Skin color: 
- Race (or ethnicity): 
- Facial features: Narrow and elongated face shape. Curly beard. Sunken eye sockets.
- Hair: Bald.
- Impression: Turban.
-  Distinctive feature: Accompanied by a parrot (Iago). Noticeably skinny physique. Carries a staff.","- Trust: Gains trust by concealing their wickedness and offering advice to people. The most trusted torturer by the Sultan.
- Cruelty: Kills those who interfere with their plans.
- Humorous: Engages in humor.
- Cleverness: Possesses extensive knowledge of magic and understands its principles.
- Emotional: Falls victim to provocation and becomes ensnared by Genie.",- Magic: Uses the red gemstone on their staff to cast hypnotic spells.,Grand vizier
"- Skin color:
- Race (or ethnicity):
- Facial features:
- Hair: Short
- Impression:
-  Distinctive feature:","- Cleverness: Graduated from nursing school.
- Loneliness.
- Disorders: Suffering from dementia. Bipolar disorder - experiences sudden mood swings, sometimes leading to self-harm. Depression. Paranoia.
- Criminal: Serial killings, infant homicides.
- Dual personality: Appears caring and kind but also acts as a serial killer.
- Mistreatment: Enjoys it.
- Scarred by a lack of family upbringing: Kills numerous newborns in the hospital.",,Nurse
"- Skin color:
- Race (or ethnicity): Aynu
- Facial features: Red eyes (burning)
- Hair: 
- Impression: Wrapped in silver armor.
-  Distinctive feature:","- Multifaceted
- Cleverness: Acquired various blacksmithing skills. Diverse knowledge. Good at speaking.
- Feared as the strongest in Middle Earth: A very powerful wizard.","· Magic
· Tremendous martial arts skills",Sorcerer
"· Skin color:
· Race (or ethnicity): Kryptonian
· Facial features:
· Hair: Short cropped sports hair. Beard.
· Impression: Scale-like armor. Black cloak.
·  Distinctive feature:","· Loyalty: Strong loyalty to Krypton → After the destruction of Krypton, had a strong desire to rebuild it anew.
· Past benevolence: Was merciful in the past.
· Strong determination
· Criminal: Murdered friend Joel","· Superhuman abilities: Martial arts, physical strength
· Flight","Kryptonian Commander
"
"- Skin color: Painted white
- Race (or ethnicity):
- Facial features:
- Hair: Green hair dyed completely white
- Impression: Dresses flamboyantly (green shirt / yellow blazer / red suit)
-  Distinctive feature: Dramatic clown makeup (emphasizing torn mouth)","- Disorder: Depression, Borderline Personality Disorder (BPD)
- Cheerful: Enjoys making people laugh
- Obsession: Fixated on laughter
- Smoking
- Cleverness
- Pseudobulbar Affect (PBA): Inappropriate laughter or attempts to induce laughter at inappropriate times
- Anger towards the wealthy: Discovers they are the illegitimate child of a famous politician and becomes enraged (struggles with being seen as the child of someone they previously rejected)
- Childhood abuse: Abused by a mother figure in childhood, leading to memories of abuse and a desire for revenge (unlike most people who may resent their mother, they contemplate murder)
- Violent
- Criminal: Serial killings",,Comedian
"- Skin color: Painted in yellow without blood.
- Race (or ethnicity): British.
- Facial features: Underlash attached below the left eye.
- Hair:
- Impression: Wearing a top hat, a belt emphasizing the genitals, a white vest, and shirt. Also adorned with eye-shaped jewelry resembling bleeding on the wrist. Wearing walkers.
- Distinctive feature: ","- Music: Enjoys Beethoven's songs, particularly Symphony No. 9.
- Troubled Youth: Involved in rape, violence, and shows a keen interest in women.
- Criminal Activities: Commits rape (author's wife), assaults on the elderly, and murder.
- Obsessions: Obsessed with women and sexuality.
- Ritual before Crime: Sings ""Singin' in the Rain"" before committing crimes.
- Violent Tendencies: Inclined to physically assault friends over personal disagreements. Commits assault on the elderly for singing. Murder without clear motives.
- Opportunist: Skilled in flattery.
- Exaggerated Speech and Gestures.",,Student
"- Skin color:
- Race (or ethnicity):
- Facial features:
- Hair: Bald
- Impression: Red T-shirt
- Distinctive feature:","- Criminal: Serial killer
- Obsession: Obsessed with the seven deadly sins of humanity. He meticulously plans and executes murders targeting individuals whom he perceives to embody these sins. For instance, he might force-feed excessive amounts of food to someone who indulges in gluttony until they die.
- Cleverness: Highly intelligent, capable of outmaneuvering law enforcement.
- Cunning: Deceptive and crafty.
- Passionate: Shows immense passion in committing his murders, viewing them as a form of divine retribution against those who commit sins.",,
"- Skin color: Green
- Race (or ethnicity): 
- Facial features: Menacing appearance with purple eyeshadow.
- Hair: 
- Impression: Black and purple cloak.
- Distinctive feature: Two black pointed horns. Very thin. Carries a staff.","- Tragic backstory: Formerly kind-hearted, turned evil after not being invited to Aurora's christening. (Warns Aurora that she will die on her 16th birthday)
- Not kind to people and incapable of love.
- Wickedness: Commits murder for personal gain.
- Narcissism: Views others as beneath them (treats them like pets).
- Fond of their pet raven (Diablo).","- Ability to control dragons (transforms into a dragon for combat).
- Magic",Queen
"- Skin color:  
- Race (or ethnicity): American  
- Facial features: Half of the face is damaged by a scar.  
- Hair: Brown  
- Impression:  
- Distinctive feature: Carries a coin with the same design on both sides.","- Past: Former righteous detective who protected Gotham City.
- Cleverness: Vast knowledge of the law.
- Dual personality: Associated with having half of the face. Unable to predict one's own actions.
- Criminal.",,
"- Skin color:
- Ethnicity (or ethnicity): Italian
- Facial features:
- Hair:
- Impression: Center parting. Always impeccably dressed in a suit.
-Distinctive feature:","- Tragic backstory: Formerly kind-hearted, turned evil after not being invited to Aurora's christening. (Warns Aurora that she will die on her 16th birthday)
- Not kind to people and incapable of love.
- Wickedness: Commits murder for personal gain.
- Narcissism: Views others as beneath them (treats them like pets).
- Fond of their pet raven (Diablo).",,
"- Skin color:
- Ethnicity (or ethnicity): 
- Facial features:
- Hair: Curly blonde hair.
- Impression: 
- Distinctive feature:","- Disorder: Borderline Personality Disorder (BPD)
- Obsession: Obsession with a specific individual (Dan)",,
"- Skin color:
- Ethnicity (or ethnicity): 
- Facial features:
- Hair: Sports haircut.
- Impression: 
- Distinctive feature: Sharp impression. Frequently has scars or injuries.","- Dual personality: Severe enough to not remember the actions one has committed.
- Surprising morality: Strives to recognize and rectify their dual personality and criminal behavior.
- Desires to break away from their exemplary image: Skilled in handling violence and drugs.
- Leadership: Effectively leads a large organization.
- Violent: Proposes creating a club where people fight each other.
- Audacious: Pours acid onto the hands of those under them for loyalty.
- Lustful: Skilled in fighting.
- Smoking.
- Uninhibited about sleeping with women.",,Office worker → Fight club owner
"- Skin color: 
- Ethnicity (or ethnicity): Symbiote
- Facial features: Black slime-like form. Very sharp teeth. Long tongue. Torn eyes (only white).
- Hair: 
- Impression: 
- Distinctive feature: Large body. Muscular.","- Parasitically living off Eddie Brock (host).
- Cheerful: Shows cheerfulness by making jokes with the host.
- Surprising cuteness: Despite having a large physique, has cute aspects.
- Carelessness: Sometimes acts carelessly, leading the host, Venom, to help out.
- Ignorance: Does not know or care much about law or morality.
- Lack of morality.",,
"- Skin color:  
- Ethnicity (or ethnicity):  
- Facial features: Beautiful appearance 
- Hair: Blonde
- Impression: Wearing a tight white dress
- Distinctive feature:","- Psychopath
- Alluring: Utilizes beauty to seduce others. Sexually mesmerizes people.
- Smoking
- Narcissism
- Criminal: Murderer
- Boldness: Maintains composure and even confidence while being investigated by the police for murder.
- Indifferent to sleeping with men.",,
"- Skin color:  
- Ethnicity (or ethnicity):  
- Facial features: 
- Hair: Red hair
- Impression: 
- Distinctive feature: Covered in vines and plants.","- Misandry: Strongly dislikes men due to experiences with a past boyfriend.
- Infertility due to toxic substance exposure.
- Criminal: Mass murder using plants.
- Environmentalism: Highly values the environment and loves plants.","- Ability to manipulate others using pheromones (able to seduce the opposite sex).
- Ability to manipulate plants.",
"- Skin color: Blue
- Ethnicity (or ethnicity): Mutan
- Facial features: 
- Hair: Red hair
- Impression: 
- Distinctive feature: Scales are scattered throughout the body.",- Unfortunate childhood: Abandoned by father.,"- Shapeshifting: Can freely mimic body, voice, and even cells (can change gender).
- Slower aging compared to humans.",
"- Skin color:  
- Ethnicity (or ethnicity):  
- Facial features:  
- Hair: Half black, half white hair
- Impression: Fur coat. Green accessories (earrings, rings).
- Distinctive feature:","- Cruelty
- Narcissism
- Mistreatment: Contemplates how to cruelly kill a dog.
- Criminal: Animal abuse and killing.",,
"- Skin color: Purple
- Ethnicity (or race): 
- Facial features: Very large mouth
- Hair: Gray hair
- Impression: 
- Distinctive feature: Has several black tentacle-like legs.","- Wickedness: Steals the voice of the Little Mermaid, Ariel.
- Cunning
- Cheerful: Has a sense of humor.
- Vanity: Tries to overcome complexes by boasting about one's appearance.
- Articulate: Speaks well.","- Can grant other people's wishes.
- Magic.",sea witch
"- Skin color:  
- Ethnicity (or ethnicity):  
- Facial features:  
- Hair:  
- Impression: Nurse attire.
- Distinctive feature:",- Values order: Prefers following manuals,,mental hospital nurse
"- Skin color:  
- Ethnicity (or ethnicity):  
- Facial features:  
- Hair: Short white hair
- Impression: Wears flashy jewelry and clothes (luxury brands). Occasionally wears glasses.
- Distinctive feature:","- Workaholic: Strict when it comes to work.
- Cold-blooded.
- Always wears expensive clothes.
- Disorder: Narcissistic Personality Disorder (NPD) stemming from narcissism.
- Ruthlessness: Rarely gives praise to subordinates.",,Miranda Fashion Magazine Editor-in-Chief
"- Skin color:  
- Ethnicity (or ethnicity):  
- Facial features:  
- Hair:  
- Impression: Wearing a uniform.
- Distinctive feature:","- Cleverness
- Greed: Greed for gold
- Cruelty: Mercilessly kills those who harm themselves",,world's largest gold seller
"- Skin color:  
- Ethnicity (or ethnicity):  
- Facial features: Scar on the left eye
- Hair: Bald
- Impression: Wearing a beige shirt
- Distinctive feature:","- Cleverness: Genius
- Leadership: Leads the massive criminal organization, Specter
- Carries a cat with them
- Mysticism
- Avarice
- Ruthlessness: Kills anyone who harms them
- Desire for power",,Leader of the criminal organization (Specter)
"- Skin color:  
- Ethnicity (or ethnicity):  
- Facial features:  
- Hair: White. Fully white hair.
- Impression: Wearing a suit.
- Distinctive feature: Large build.",- Provocateur: Frequent use of profanity and vulgar language.,,hired assassin
" - Skin color:  
- Ethnicity (or race):  
- Facial features:  
- Hair: Long blonde hair
- Impression:  
- Distinctive feature:","- Cleverness: Graduated from Yale with a bachelor's degree and obtained a Ph.D. from Harvard.
- Wickedness: Plans to murder her husband.
- Cunning.",,
"- Skin color: 
- Race (or ethnicity): 
- Facial features:
- Hair: Short hair
- Impression: 
- Distinctive feature: Appears stupid","- Conceptual personification and personification of accidental death
- Murders through coin toss
- Criminal: Serial killer
- Exceptional strength to overpower the police",,
"- Skin color: 
- Race (or ethnicity): 
- Facial features: Luxuriant beard
- Hair: 
- Impression: 
- Distinctive feature","- Cleverness
- Leadership: Leads a German terrorist organization
- Cheerful: Tries to appear funny by making jokes
- Ruthlessness / Lack of morality: Appears to have no guilt in killing others",,Leader of the (German) terrorist organization
